1849 50
3421_0_6_7_13_14	33	-0.141854 0.013623 0.059657 -0.150317 0.129608 0.109571 -0.042362 0.102859 -0.037517 -0.073815 -0.038682 0.382271 0.170288 -0.104749 0.140830 -0.087015 -0.300835 0.154137 -0.031706 0.287402 0.009494 -0.112353 0.219338 -0.112653 0.169798 0.067253 -0.206270 0.039569 0.090773 0.244206 0.002392 -0.100718 0.093136 -0.113396 -0.243106 0.267858 -0.138591 -0.048986 -0.040718 0.013651 0.098740 -0.127152 0.057032 -0.174993 0.023782 0.029293 0.074011 -0.147865 0.016663 -0.023214 
18_0_12_13_30_31	34	0.004985 -0.069542 0.059859 -0.161973 0.219302 0.144981 -0.113527 0.028471 0.110028 0.067509 -0.149545 0.417317 0.195329 -0.171002 0.086274 0.067437 0.179183 -0.110269 0.155041 0.112664 0.006780 0.060541 0.090549 -0.061629 -0.103207 -0.112103 -0.235086 -0.092857 0.071060 0.286106 0.208030 -0.183278 0.125171 0.070324 -0.133603 -0.076171 0.107342 -0.107277 0.034284 0.084215 -0.246466 -0.115710 0.236028 0.068567 0.001459 0.033443 0.028616 0.196302 0.051745 0.004011 
1543_0_12_14_16_18	35	-0.186956 -0.120018 -0.211069 -0.076407 0.064066 -0.134258 0.109534 0.156046 0.091894 -0.136757 -0.171632 0.146440 -0.283386 -0.173178 -0.104847 -0.079586 -0.181125 0.283575 0.019337 0.341918 0.186715 0.092983 0.050577 -0.136635 -0.070526 -0.088160 0.042045 0.062946 0.126831 0.208481 0.235307 0.027070 0.017982 0.032645 -0.254684 -0.090268 -0.072398 0.078310 -0.088700 0.067707 -0.051157 0.143794 0.045286 -0.092205 -0.095941 -0.056213 0.101903 -0.112584 -0.203296 0.012361 
6538_0_0_1_4_5	36	-0.038520 -0.026778 -0.139092 -0.045531 0.040618 0.130452 0.133033 -0.158239 0.071289 0.141602 -0.325837 0.207942 -0.028280 0.167584 -0.078282 -0.034002 0.113637 0.034996 0.013237 0.108788 0.082694 -0.221509 0.235881 -0.228264 0.048328 0.274635 -0.045459 -0.061515 -0.021342 0.033765 0.118689 0.158279 0.141576 -0.078001 -0.414519 0.163957 0.119861 0.133670 0.067664 0.199111 -0.004635 0.042813 0.155031 -0.191709 -0.048504 -0.081384 -0.035911 0.055772 -0.129706 -0.145257 
1124_1_60_61_64_65	37	-0.051782 -0.018847 0.022132 -0.189991 0.107566 -0.077615 -0.046306 -0.128660 0.024251 -0.105720 -0.212551 0.064885 -0.018877 -0.273093 0.018049 -0.285842 0.090726 -0.108943 0.190228 -0.086447 -0.014214 0.144762 0.145982 -0.296429 0.103919 -0.177865 -0.137086 0.029495 -0.058211 -0.069827 0.169687 -0.172669 -0.179311 -0.049836 -0.376706 -0.136100 -0.056939 -0.052028 0.037530 0.049989 0.049209 0.090701 0.105860 -0.222495 -0.053281 -0.181589 -0.188990 0.138393 -0.032310 -0.164307 
1124_1_38_39_64_65	38	-0.008080 -0.053779 -0.011565 -0.274288 0.107818 -0.011320 -0.037791 -0.114883 0.026411 -0.047162 -0.161566 0.052755 0.032572 -0.391685 0.040222 -0.181556 0.132034 -0.180595 0.116851 -0.135064 -0.002522 0.210078 0.150999 -0.346443 0.022692 -0.151427 -0.139795 0.060604 -0.034697 0.008758 0.182869 -0.214604 -0.067894 -0.096861 -0.218293 -0.049934 -0.035173 -0.049849 0.044103 0.073564 0.017019 0.067116 0.148305 -0.127173 -0.151543 -0.223300 -0.218187 0.114673 0.095693 -0.168306 
1124_1_38_39_60_61	39	0.000509 -0.054725 0.004379 -0.254198 0.141232 0.019690 -0.015687 -0.140592 -0.002676 -0.070473 -0.128807 0.048688 0.029922 -0.433163 0.096635 -0.168447 0.117577 -0.168076 0.150137 -0.085014 -0.000171 0.122809 0.144279 -0.399228 -0.032520 -0.161014 -0.132385 0.058477 -0.094588 0.043559 0.210648 -0.233162 -0.039653 -0.110354 -0.198188 -0.009601 -0.019584 0.007683 0.060570 0.073355 0.024455 0.069473 0.065326 -0.102025 -0.101954 -0.227003 -0.137715 0.104091 0.145952 -0.165830 
2417_0_11_12_18_20	40	0.081248 0.048533 -0.009290 -0.158924 0.181069 -0.015509 0.090522 -0.108250 -0.096666 -0.193116 -0.120170 0.423578 -0.038788 0.071229 -0.059456 -0.099288 -0.052087 0.164454 0.089497 0.241954 0.129166 0.020221 0.172946 -0.094500 0.138288 0.087389 -0.084881 0.180950 0.087355 0.092293 0.281133 -0.057769 -0.260514 0.008905 0.075443 0.150026 -0.251341 0.112937 -0.092040 0.149655 0.086551 0.095614 0.129270 -0.181923 0.044968 0.009796 -0.026536 0.023110 -0.009972 0.258489 
2852_0_22_24_10_11	41	0.097291 -0.037215 0.112115 -0.117193 0.052131 -0.088260 -0.028156 -0.082041 -0.205076 -0.020404 -0.102220 0.170692 -0.048237 -0.083544 0.059676 -0.142789 0.035192 -0.181815 0.119423 -0.000011 0.042584 -0.024310 0.081698 0.041947 -0.252292 0.053402 -0.098798 -0.162978 0.169254 0.222052 0.295703 -0.068682 -0.146937 0.047069 -0.222912 0.096872 0.064525 0.195157 0.064433 0.038350 0.046675 -0.204345 0.296615 -0.275342 -0.160549 -0.192144 -0.105750 0.216623 0.148142 0.140906 
2852_0_22_24_16_17	42	0.098660 0.024240 0.090892 -0.081421 0.071002 -0.079932 -0.109704 -0.118579 -0.203002 -0.018106 -0.074207 0.143946 -0.075597 -0.086942 0.112583 -0.185823 -0.037941 -0.113220 0.013879 0.063394 0.096338 0.079117 0.047588 0.005290 -0.191240 0.125736 -0.111371 -0.154370 0.177865 0.205883 0.320130 -0.065585 -0.234627 0.062578 -0.273641 0.106399 0.039559 0.190115 0.048929 0.000207 0.048681 -0.174851 0.257179 -0.274406 -0.161969 -0.118075 -0.108280 0.249448 0.133160 0.117335 
